,car_title,car_price,car_description,car_location
119,Mazda 6,6 000 000 ₸,"2012 г., хэтчбек, 2 л, бензин, КПП автомат, 98 000 км, белый, Бережная эксплуатация. Не бита, не крашена",Нур-Султан (Астана)
120,Mazda 6,12 600 000 ₸,"новая
2019 г., седан, 2.5 л, бензин, КПП автомат, 1 км, Комплектация Supreme Plus 2.5 Автомобиль в наличии. На данном автомо...",Караганда
121,Mazda 6,2 490 000 ₸,"2012 г., седан, 1.8 л, газ-бензин, КПП механика, 122 295 км, серебристый, металлик, литые диски, тонировка, противотум...",Уральск
122,Mazda 6,6 700 000 ₸,"2015 г., седан, 2 л, бензин, КПП автомат, 89 000 км, белый, металлик, Машина абсолютно никаких вложений не требует. Ку...",Актау
123,Mazda 6,6 700 000 ₸,"2013 г., седан, 2 л, бензин, КПП автомат, 105 000 км, серебристый, металлик, тонировка, биксенон, противотуманки, омыв...",Алматы
124,Mazda 6,11 700 000 ₸,"2019 г., седан, 2.5 л, бензин, КПП автомат, Новая машина. Продаётся в связи с покупкой недвижимости! На гарантии у оф....",Алматы
125,Mazda 6,12 750 000 ₸,"2018 г., седан, 2.5 л, бензин, КПП автомат, 8 617 км, серый, металлик, литые диски, тонировка, люк, хрустальная оптика...",Нур-Султан (Астана)
126,Mazda 6,8 700 000 ₸,"На заказ
2018 г., седан, 2 л, бензин, КПП автомат, 25 000 км, белый, металлик, Акпп 2-зонный климат-контроль Пушстарт Камера за...",Нур-Султан (Астана)
127,Mazda 6,8 900 000 ₸,"2015 г., седан, 2.5 л, бензин, КПП автомат, 88 000 км, черный, люк, литые диски, ветровики, тонировка, обогрев зеркал,...",Атырау
128,Mazda 6,5 770 000 ₸,"2014 г., седан, 2 л, бензин, КПП автомат, 83 200 км, черный, Цена окончательная! Без торга! Автомобиль в хорошем состо...",Нур-Султан (Астана)
129,Mazda 6,6 250 000 ₸,"2013 г., седан, 2 л, бензин, КПП автомат, 96 000 км, Состояние очень хорошее, без ДТП. Кузов в родной краске, стекла в...",Алматы
